employee_id,first_name,last_name,role,base_airport,hire_date,years_of_service,status
380,Cynthia,Johnson,First Officer,RDU,1999-03-05,26.8,Active
381,Jason,Barnes,Captain,DTW,2016-12-12,9.1,Active
382,Mitchell,Griffith,Flight Attendant,JFK,2005-01-10,21.0,Active
383,Ashley,Miller,Flight Attendant,JFK,2017-11-07,8.2,Active
384,Eric,Williamson,Flight Attendant,LAX,1996-07-19,29.5,Active
385,Joseph,Stanley,Flight Attendant,DTW,2014-10-29,11.2,Active
386,Scott,Nelson,Flight Attendant,MSP,2009-04-14,16.7,Active
387,Daniel,Jordan,Flight Attendant,JFK,2017-03-17,8.8,Active
388,Erika,Tucker,Flight Attendant,MSP,2003-05-02,22.7,Active
389,Brandon,Foster,Flight Attendant,BOS,2014-08-16,11.4,Active
390,Adrian,Turner,Flight Attendant,DTW,2012-08-18,13.4,Active
391,Derrick,Scott,Flight Attendant,MSP,2001-03-19,24.8,Active
392,Adrian,Burgess,Captain,ATL,2004-08-26,21.3,Active
393,Omar,Padilla,First Officer,SLC,2000-03-02,25.8,Active
394,Martha,Drake,First Officer,LGA,2009-09-18,16.3,On Leave
395,Michelle,Williams,Lead Flight Attendant,RDU,1997-02-13,28.9,Active
396,Samantha,Atkins,Flight Attendant,LGA,1995-07-21,30.5,Active
397,Ashley,Mckinney,Flight Attendant,LAX,2011-12-08,14.1,Active
398,Darius,Smith,Flight Attendant,ATL,2007-04-15,18.7,Active
399,Laurie,Montgomery,Flight Attendant,JFK,2004-07-21,21.4,On Leave
400,Samantha,Davis,Flight Attendant,LAX,2019-06-23,6.5,Active
401,John,Chapman,Flight Attendant,LAX,2019-11-04,6.2,Active
402,Randy,Collins,Captain,LGA,2010-05-31,15.6,Active
403,Mason,Jackson,Flight Attendant,DTW,2004-12-26,21.0,Active
404,Daniel,Hicks,Flight Attendant,JFK,2010-01-06,16.0,Active
405,Michael,Luna,Flight Attendant,LAX,2021-08-25,4.4,Active
406,Lisa,Young,Flight Attendant,RDU,2019-02-02,6.9,On Leave
407,James,Morrison,Captain,JFK,1999-04-23,26.7,Active
408,Diana,Thompson,Flight Attendant,SLC,2017-05-12,8.6,Active
409,Troy,Webster,Flight Attendant,DTW,2017-09-25,8.3,Active
410,Shane,Glass,Flight Attendant,BOS,2017-05-09,8.6,Active
411,Cynthia,Weber,Flight Attendant,JFK,2011-08-09,14.4,Active
412,Courtney,Hernandez,Flight Attendant,MSP,2020-06-03,5.6,Active
413,Scott,Turner,First Officer,LAX,1997-01-03,29.0,Active
414,Brian,Romero,Flight Attendant,MSP,2003-01-30,22.9,Active
415,Shannon,Brown,First Officer,DTW,2004-02-18,21.9,Active
416,Chase,Lin,Flight Attendant,ATL,2019-06-19,6.5,Active
417,Christina,Hunter,First Officer,MSP,2020-02-28,5.8,On Leave
418,Angela,Conner,First Officer,LAX,2008-08-11,17.4,Active
419,Shannon,Pacheco,Flight Attendant,RDU,2021-05-09,4.6,Active
420,Marc,Alvarez,Flight Attendant,RDU,2014-03-05,11.8,Active
421,Bryan,Garcia,Flight Attendant,LAX,1999-06-09,26.6,Active
422,Matthew,Klein,Flight Attendant,LGA,2021-06-13,4.6,Active
423,Gerald,Wright,Flight Attendant,DTW,2009-11-03,16.2,On Leave
424,Scott,Mills,First Officer,LGA,2007-11-17,18.1,Active
425,Nathan,Campbell,Lead Flight Attendant,LAX,1999-09-02,26.3,Active
426,Matthew,Harper,First Officer,SLC,2007-01-09,19.0,On Leave
427,Deborah,Jones,Flight Attendant,LAX,2018-03-20,7.8,Active
428,Erika,Mitchell,Captain,BOS,1997-10-12,28.2,Active
429,Diane,Escobar,Flight Attendant,BOS,2016-04-15,9.7,Active
430,Mathew,Aguilar,Flight Attendant,LGA,2020-09-08,5.3,Active
431,Michael,Ponce,First Officer,LGA,1999-02-28,26.8,Active
432,Philip,Larson,Flight Attendant,DTW,2015-07-19,10.5,Active
433,Kyle,Bennett,First Officer,RDU,2022-08-04,3.4,Active
434,Lisa,Santiago,Flight Attendant,ATL,2018-04-15,7.7,Active
435,Joanne,Jennings,Flight Attendant,SLC,2019-05-21,6.6,Active
436,Debbie,Henderson,Flight Attendant,SEA,2010-06-26,15.5,Active
437,Michael,White,Flight Attendant,RDU,2005-08-23,20.4,Active
438,Stacey,Tucker,Captain,LAX,2001-04-20,24.7,Active
439,Devin,Jones,Captain,ATL,2001-08-30,24.3,Active
440,Craig,Wise,Flight Attendant,DTW,2019-11-03,6.2,Active
441,Nicole,Johnson,First Officer,JFK,2019-07-26,6.4,Active
442,Katie,Anderson,Flight Attendant,RDU,2004-11-27,21.1,Active
443,Francis,Guerra,Flight Attendant,RDU,2006-01-30,19.9,Active
444,Lisa,Martin,First Officer,ATL,2017-09-06,8.3,On Leave
445,Robert,Rhodes,Flight Attendant,LAX,2007-11-16,18.1,Active
446,Sean,Mitchell,Flight Attendant,RDU,2001-12-27,24.0,Active
447,Shane,Ferguson,Flight Attendant,ATL,2017-01-07,9.0,Active
448,Lindsey,Harrison,Flight Attendant,MSP,2004-02-07,21.9,Active
449,Micheal,Valentine,Flight Attendant,LGA,2019-07-26,6.4,Active
450,Steven,Campbell,Captain,BOS,2023-12-16,2.0,Active
451,Allison,Burch,Flight Attendant,LGA,2006-03-26,19.8,Active
452,Laurie,Taylor,Flight Attendant,LAX,2019-01-11,7.0,On Leave
453,Danielle,Sawyer,Captain,MSP,2002-05-10,23.6,Active
454,Curtis,Singleton,Flight Attendant,RDU,2011-04-24,14.7,Active
455,Justin,Hines,First Officer,SLC,2020-01-14,6.0,Active
456,Rebecca,Hernandez,Flight Attendant,LGA,2003-01-09,23.0,Active
457,Stacey,Walker,Flight Attendant,DTW,2007-11-14,18.1,Active
458,Michael,Johnson,Flight Attendant,LGA,2008-04-08,17.7,Active
459,Wayne,Young,Flight Attendant,SEA,1996-07-26,29.4,Active
460,Nicholas,Johnson,Flight Attendant,SLC,2024-04-03,1.7,Active
461,Mary,Santos,Flight Attendant,SEA,2022-05-19,3.6,Active
462,Devin,Mitchell,Flight Attendant,SEA,2018-04-12,7.7,Active
463,Heather,Taylor,Flight Attendant,DTW,2019-05-29,6.6,Active
464,Shane,Smith,Flight Attendant,MSP,2015-10-03,10.2,Inactive
465,Jonathan,Conley,Captain,SEA,1997-05-01,28.7,On Leave
466,Jessica,Rose,Flight Attendant,SLC,2011-02-22,14.9,Active
467,Keith,Turner,Flight Attendant,LGA,1998-04-09,27.7,Active
468,Robert,Bauer,Flight Attendant,LAX,1996-05-28,29.6,Active
469,Daniel,Stein,Flight Attendant,SLC,2008-06-12,17.6,Active
470,Allen,Robertson,Flight Attendant,BOS,2012-07-21,13.4,Active
471,Douglas,Patterson,Flight Attendant,ATL,2002-02-12,23.9,Active
472,John,Butler,Flight Attendant,LGA,2013-01-31,12.9,Active
473,Christopher,Villegas,First Officer,DTW,2014-07-18,11.5,Active
474,Alicia,Romero,Captain,SEA,1996-12-28,29.0,Active
475,Angela,Myers,Flight Attendant,LAX,2024-01-27,1.9,Active
476,Cynthia,Zavala,Flight Attendant,SEA,2008-10-30,17.2,Active
477,Allen,Kramer,Flight Attendant,DTW,2002-06-18,23.5,Active
478,Jessica,Fuller,Flight Attendant,SLC,2005-02-21,20.9,Active
479,Jill,Cook,Captain,BOS,2017-09-11,8.3,Active
480,Amy,Li,Flight Attendant,ATL,1996-04-21,29.7,Active
481,Kimberly,Marshall,Flight Attendant,BOS,2000-02-25,25.9,Active
482,Crystal,Cain,Flight Attendant,LGA,2015-06-16,10.5,Active
483,Kimberly,Ellis,Flight Attendant,SLC,1996-11-08,29.1,Active
484,Bradley,Gonzalez,Lead Flight Attendant,ATL,2003-08-19,22.4,Active
485,Sarah,Robertson,Flight Attendant,JFK,1996-03-26,29.8,Active
486,Amy,King,Flight Attendant,BOS,2024-02-05,1.9,Active
487,James,Kelly,Flight Attendant,SEA,2017-02-27,8.8,Active
488,Michelle,Rivera,Flight Attendant,RDU,2017-12-20,8.0,Active
489,Micheal,Preston,Captain,LGA,1998-08-30,27.3,Active
490,Patricia,Hughes,Captain,LGA,2016-11-12,9.1,Active
491,Tyler,Jimenez,Flight Attendant,ATL,2023-08-23,2.4,Active
492,April,Owen,Flight Attendant,JFK,2022-03-10,3.8,Active
493,Christian,Morrison,Flight Attendant,LAX,2016-05-21,9.6,Active
494,Amy,Morris,Captain,BOS,2019-03-11,6.8,Active
495,Donna,Parker,First Officer,MSP,1997-05-10,28.6,Active
496,Ronald,Norris,Lead Flight Attendant,LAX,2012-09-22,13.3,Active
497,Bobby,Berg,Flight Attendant,LGA,2005-05-05,20.7,Active
498,Whitney,Hill,Flight Attendant,LGA,2005-05-15,20.6,Active
499,Stacy,Jones,Lead Flight Attendant,DTW,2023-10-30,2.2,Active
500,Michael,Owen,First Officer,ATL,2013-10-02,12.2,Active
501,Stephanie,Thomas,Flight Attendant,RDU,2014-12-26,11.0,Active
502,Kimberly,Johnson,Flight Attendant,JFK,2012-11-14,13.1,Active
503,Kimberly,Diaz,Captain,MSP,1996-12-23,29.0,Active
504,Ashley,Jacobs,First Officer,LAX,2006-04-06,19.7,On Leave
505,Stacy,Watson,Flight Attendant,BOS,2014-12-22,11.0,Active
506,Audrey,Moreno,Flight Attendant,ATL,2017-06-12,8.6,Active
507,Debra,Wright,Flight Attendant,BOS,2006-09-16,19.3,Active
508,Jill,Porter,Flight Attendant,SLC,1998-05-03,27.7,Active
509,Anna,Green,Flight Attendant,DTW,2006-05-20,19.6,Active
510,Sean,Davies,First Officer,JFK,2002-08-28,23.3,Active
511,Sabrina,Henry,Flight Attendant,DTW,2003-05-27,22.6,Active
512,Melissa,Hayes,Flight Attendant,LGA,1998-08-10,27.4,Active
513,Sean,Miller,First Officer,DTW,2021-06-08,4.6,Active
514,Megan,Flores,Lead Flight Attendant,MSP,2015-01-22,10.9,Active
515,Calvin,Daniels,Flight Attendant,LGA,2005-03-21,20.8,Active
516,Melissa,Joseph,Captain,LAX,2021-03-21,4.8,Active
517,Dana,Leon,Flight Attendant,BOS,2022-04-12,3.7,Active
518,David,Harris,First Officer,LAX,2009-12-19,16.0,Active
519,Kristy,Johnson,Flight Attendant,SLC,1999-02-01,26.9,Active
520,Miguel,Lara,Captain,LGA,2011-04-19,14.7,Active
521,Cheryl,Miller,Flight Attendant,LGA,2011-03-24,14.8,Active
522,Yvonne,Higgins,Flight Attendant,JFK,2004-02-06,21.9,Active
523,Kayla,Morrow,Flight Attendant,LGA,2010-06-19,15.5,Active
524,Teresa,Day,Flight Attendant,BOS,1997-03-03,28.8,On Leave
525,Erin,Cooper,First Officer,MSP,2008-03-27,17.8,Active
526,Kimberly,Bowman,Flight Attendant,SLC,2020-10-28,5.2,Active
527,Tammy,Reynolds,Flight Attendant,JFK,2000-05-09,25.6,Active
528,Brian,Martinez,Flight Attendant,RDU,2021-10-15,4.2,Active
529,Fred,Morris,Captain,BOS,1999-07-02,26.5,Active
530,Michael,Everett,Flight Attendant,MSP,2015-11-13,10.1,Active
531,Meghan,King,Captain,DTW,2021-04-29,4.7,Active
532,Andrea,Martinez,Flight Attendant,LAX,2013-09-06,12.3,Active
533,Amanda,Shaw,Lead Flight Attendant,SLC,2003-11-28,22.1,Active
534,Shelly,Moore,Lead Flight Attendant,SEA,1999-12-17,26.0,Active
535,Jennifer,Jacobs,Flight Attendant,BOS,2014-05-18,11.6,Active
536,Anne,Bryan,Flight Attendant,LAX,2019-10-14,6.2,Active
537,Brandon,May,Flight Attendant,ATL,1995-11-01,30.2,Active
538,Debra,Wang,Flight Attendant,LAX,2011-12-19,14.0,Active
539,Danielle,Jimenez,Lead Flight Attendant,LAX,2007-04-03,18.7,Active
540,Keith,Frye,Flight Attendant,RDU,2013-06-13,12.6,Inactive
541,Linda,Cohen,Flight Attendant,RDU,2009-03-16,16.8,Active
542,Charles,Brown,Flight Attendant,LGA,2003-10-01,22.3,Active
543,Todd,Harris,Captain,MSP,2007-12-07,18.1,Active
544,Larry,Higgins,Flight Attendant,LGA,2012-11-04,13.2,Active
545,Michelle,Hester,Flight Attendant,BOS,2016-08-06,9.4,Active
546,Mitchell,Hoffman,Flight Attendant,LGA,1998-11-05,27.2,Active
547,Steven,Adams,Flight Attendant,SEA,2004-05-21,21.6,Active
548,Colin,Roberts,Lead Flight Attendant,SEA,2002-04-17,23.7,Active
549,Christina,Wright,Flight Attendant,BOS,2006-04-20,19.7,Active
550,Erik,Murphy,First Officer,BOS,2020-06-14,5.5,Active
551,Larry,Hines,First Officer,SLC,2011-12-29,14.0,Inactive
552,Xavier,Jimenez,Flight Attendant,LGA,2009-08-28,16.3,Active
553,Andrew,Landry,Flight Attendant,SEA,2004-01-28,21.9,Active
554,Tammy,Lewis,Flight Attendant,JFK,2009-11-13,16.1,Active
555,Brent,Simpson,Flight Attendant,JFK,2005-05-19,20.6,Active
556,Destiny,Ruiz,Flight Attendant,RDU,2020-12-14,5.0,Active
557,Melanie,Jordan,Flight Attendant,SLC,2010-10-15,15.2,Active
558,Jessica,Gallagher,Lead Flight Attendant,JFK,2020-12-16,5.0,Active
559,Richard,Hudson,Flight Attendant,SLC,2005-10-06,20.2,Active
560,Angela,Jones,Flight Attendant,ATL,2000-09-22,25.3,Active
561,Kathy,Ramirez,Lead Flight Attendant,SEA,2009-10-31,16.2,Active
562,Erin,Wilson,Flight Attendant,LGA,2024-02-04,1.9,Active
563,Phillip,Norton,Flight Attendant,SLC,2023-09-07,2.3,Active
564,Sheila,Fischer,Flight Attendant,SLC,2004-12-22,21.0,Inactive
565,William,Porter,Flight Attendant,MSP,2000-11-08,25.1,Active
566,Derrick,Cook,Flight Attendant,LGA,1996-05-01,29.7,Active
567,Stephen,Obrien,Flight Attendant,ATL,2008-12-07,17.1,Active
568,Mark,Austin,Flight Attendant,MSP,2010-03-01,15.8,Active
569,Vicki,Stevenson,Flight Attendant,BOS,1999-10-12,26.2,Active
570,Matthew,Clayton,Lead Flight Attendant,RDU,2003-10-20,22.2,Active
571,Jeanne,Evans,Flight Attendant,SEA,2010-08-29,15.3,Active
572,Micheal,Nunez,Flight Attendant,DTW,2018-12-30,7.0,Active
573,Brandy,Robles,Flight Attendant,LGA,2023-10-29,2.2,Active
574,Hailey,Johnson,Flight Attendant,DTW,2016-05-02,9.7,Active
575,Tammy,Patton,Flight Attendant,BOS,2008-12-16,17.0,Active
576,Becky,Griffith,Flight Attendant,LGA,2017-10-31,8.2,Active
577,George,Fuller,Flight Attendant,ATL,2012-03-01,13.8,Active
578,Maureen,Hernandez,Flight Attendant,MSP,2013-03-25,12.8,Active
579,Anthony,Vaughan,First Officer,SLC,2015-01-09,11.0,Active
580,Andrew,Edwards,Captain,MSP,1998-03-26,27.8,Active
581,Hannah,Jenkins,First Officer,DTW,1999-06-15,26.5,On Leave
582,Samantha,Salas,Flight Attendant,LGA,2017-10-18,8.2,On Leave
583,Bryan,Taylor,Flight Attendant,LAX,2016-08-23,9.4,Active
584,Mark,Bates,Flight Attendant,SEA,2001-02-05,24.9,Active
585,Lee,Thompson,Captain,RDU,2010-06-16,15.5,Active
586,Matthew,Gomez,First Officer,SLC,2021-10-30,4.2,Active
587,Jennifer,Schneider,Flight Attendant,DTW,2017-09-16,8.3,Active
588,Chelsea,Lee,Captain,SEA,2015-05-24,10.6,Active
589,Angela,Walker,Flight Attendant,BOS,2002-04-02,23.8,Active
590,Kenneth,Roberts,Flight Attendant,SLC,2023-08-14,2.4,Active
591,Janet,Stewart,Flight Attendant,SEA,2001-02-04,24.9,On Leave
592,Sarah,Pope,First Officer,LGA,2005-04-05,20.7,Active
593,David,Rhodes,First Officer,BOS,2003-01-17,23.0,Active
594,Tina,Cardenas,Captain,ATL,2006-03-03,19.8,Active
595,Linda,Roberts,Captain,RDU,2023-01-30,2.9,Active
596,Jennifer,Reed,Flight Attendant,DTW,2003-06-18,22.5,Active
597,Jonathan,Mendoza,Flight Attendant,JFK,2008-01-05,18.0,Active
598,Amanda,Fitzpatrick,Flight Attendant,LAX,2000-12-11,25.1,Active
599,Derrick,Gilbert,Flight Attendant,JFK,2015-06-24,10.5,Active
600,John,Santiago,Flight Attendant,DTW,2012-04-05,13.7,Active
601,Dana,Williams,First Officer,SLC,2010-08-15,15.4,Active
602,Jennifer,Garcia,Flight Attendant,DTW,2007-02-27,18.8,Active
603,Adam,Pierce,Flight Attendant,DTW,2017-09-03,8.3,Active
604,Richard,Donovan,Captain,LGA,2022-05-01,3.7,Active
605,Thomas,Gonzalez,Flight Attendant,MSP,2020-11-02,5.2,Active
606,Manuel,Brewer,First Officer,LAX,2023-05-10,2.6,Active
607,Christopher,Andrews,First Officer,ATL,2021-09-15,4.3,Active
608,Jennifer,Zuniga,First Officer,ATL,2010-09-28,15.3,Active
609,Gregory,Khan,First Officer,SEA,2021-11-11,4.1,On Leave
610,Samantha,Osborn,Flight Attendant,ATL,2000-03-03,25.8,Active
611,Tyler,Zuniga,Flight Attendant,LAX,2006-09-05,19.3,Active
612,Sara,Mcdowell,Flight Attendant,SEA,2023-04-21,2.7,Active
613,Ashley,Rodriguez,Flight Attendant,SEA,1995-04-10,30.7,Active
614,Justin,Hays,Flight Attendant,SLC,2023-12-01,2.1,Active
615,Troy,Mays,Lead Flight Attendant,MSP,2010-12-25,15.0,Active
616,Taylor,Lee,Flight Attendant,JFK,2020-01-13,6.0,Active
617,Francisco,Stevens,Flight Attendant,BOS,1998-04-25,27.7,Active
618,Jacob,Doyle,Flight Attendant,SLC,2002-07-27,23.4,Active
619,Ashley,Todd,Flight Attendant,RDU,2018-04-06,7.7,Active
620,Melissa,Prince,Lead Flight Attendant,MSP,2000-02-29,25.8,Active
621,Zachary,Miller,Flight Attendant,MSP,2019-04-30,6.7,Active
622,Jack,Taylor,Flight Attendant,MSP,2014-09-08,11.3,Active
623,John,Green,Flight Attendant,DTW,2004-07-08,21.5,Active
624,Karen,Finley,Flight Attendant,RDU,2001-12-05,24.1,Active
625,Jennifer,Smith,Flight Attendant,SLC,2003-11-19,22.1,Active
626,Heather,Brown,Flight Attendant,RDU,2014-03-25,11.8,Active
627,Kurt,Sullivan,Flight Attendant,JFK,1998-06-24,27.5,Active
628,Paula,Padilla,Flight Attendant,LGA,2009-10-13,16.2,Active
629,David,Hendricks,Flight Attendant,RDU,2004-02-24,21.9,Active
630,Christina,Robinson,Captain,MSP,2003-09-05,22.3,Active
631,Eric,Adkins,Captain,JFK,1998-12-06,27.1,Active
632,Robert,Dunn,Captain,LGA,2012-10-26,13.2,Active
633,Amanda,Beck,Flight Attendant,LAX,2008-11-06,17.2,Active
634,John,Fischer,Lead Flight Attendant,LGA,2001-06-04,24.6,Active
635,Christopher,Griffin,Flight Attendant,LAX,2020-09-06,5.3,Active
636,Christian,Elliott,First Officer,ATL,2015-09-14,10.3,Active
637,Amy,Wagner,Captain,LGA,1996-10-25,29.2,Active
638,Edward,Murphy,Flight Attendant,LAX,2011-11-06,14.2,Active
639,Darren,Harris,Captain,BOS,2010-04-22,15.7,Active
640,Christopher,Dixon,Flight Attendant,MSP,2012-02-26,13.8,Active
641,Shawn,Palmer,Flight Attendant,DTW,2018-10-15,7.2,Active
642,Brian,Ford,Flight Attendant,LGA,2008-06-08,17.6,Active
643,Jennifer,Foster,First Officer,SEA,2018-09-26,7.3,Active
644,Julie,Lane,Flight Attendant,RDU,2019-01-06,7.0,Active
645,Melvin,Brown,Flight Attendant,LAX,1996-05-01,29.7,Active
646,Sarah,Jones,Flight Attendant,SLC,2024-03-29,1.8,Active
647,Anthony,Ortiz,Lead Flight Attendant,LAX,2022-06-20,3.5,On Leave
648,Katie,Good,Flight Attendant,LGA,2017-08-14,8.4,Active
649,Robert,Haney,Flight Attendant,LAX,2013-12-31,12.0,Active
650,Molly,Knox,Flight Attendant,JFK,2006-04-02,19.8,Active
651,Felicia,Stanley,Lead Flight Attendant,SLC,2006-01-18,20.0,Active
652,Desiree,Bailey,First Officer,LGA,2010-11-12,15.1,Active
653,Amanda,Rice,Flight Attendant,DTW,2000-04-01,25.8,Active
654,Jeffrey,Smith,Flight Attendant,JFK,2016-05-30,9.6,Active
655,Kenneth,Nunez,First Officer,SLC,1995-09-02,30.3,Active
656,Amanda,Morrow,First Officer,RDU,2011-01-06,15.0,Active
657,Michael,Hill,Flight Attendant,SEA,2002-04-13,23.7,Active
658,Jessica,Rodriguez,Flight Attendant,RDU,2022-07-29,3.4,Active
659,Robert,Miranda,Flight Attendant,LAX,2018-10-24,7.2,Active
660,Alexis,Harris,First Officer,LAX,2020-12-30,5.0,Active
661,Arthur,Harper,Flight Attendant,ATL,1997-12-20,28.0,Active
662,Brandon,Yang,Flight Attendant,SLC,2015-09-09,10.3,Active
663,Jimmy,Robinson,Flight Attendant,LAX,2006-10-31,19.2,Active
664,Brian,Gordon,Flight Attendant,ATL,2020-05-28,5.6,On Leave
665,Lisa,Dennis,Flight Attendant,RDU,2003-07-05,22.5,Active
666,Carla,Chambers,First Officer,ATL,2004-05-19,21.6,Active
667,Kevin,Thomas,Flight Attendant,RDU,2004-06-07,21.6,Active
668,Jeffrey,Turner,First Officer,LGA,2014-06-03,11.6,Active
669,Stacy,Hobbs,Flight Attendant,LAX,1996-10-16,29.2,Active
670,Connie,Simmons,Flight Attendant,JFK,2021-10-24,4.2,Active
671,Teresa,David,Flight Attendant,RDU,2009-07-30,16.4,Active
672,Kristi,Flores,Flight Attendant,SEA,2014-09-30,11.3,Active
673,Edward,Bennett,Flight Attendant,JFK,2007-03-31,18.8,Active
674,Thomas,Atkinson,Flight Attendant,JFK,2017-03-11,8.8,Active
675,Jasmine,Shaffer,Flight Attendant,RDU,2003-11-06,22.2,Active
676,Anna,Faulkner,First Officer,LAX,2021-11-27,4.1,Active
677,Dennis,Sanchez,Flight Attendant,MSP,2011-05-24,14.6,Active
678,Deborah,Nielsen,Flight Attendant,DTW,2000-12-24,25.0,Active
679,Christopher,Hardy,First Officer,ATL,2019-12-02,6.1,Active
680,Joseph,Nunez,Flight Attendant,LAX,2000-08-08,25.4,Active
681,Morgan,Lopez,First Officer,LGA,2012-09-25,13.3,Active
682,Jennifer,Hansen,Flight Attendant,ATL,2017-05-28,8.6,Active
683,Molly,Cook,Captain,RDU,2009-02-06,16.9,Active
684,Alexis,Giles,Captain,SEA,2023-02-25,2.9,Active
685,David,Key,First Officer,MSP,2023-04-20,2.7,Active
686,John,Munoz,Flight Attendant,DTW,2009-02-01,16.9,Active
687,Rose,Arnold,First Officer,LAX,2001-01-06,25.0,Active
688,Oscar,Ferguson,Flight Attendant,SEA,2017-10-24,8.2,Inactive
689,Jose,Hunt,Flight Attendant,SLC,2005-07-26,20.4,Active
690,Corey,Zavala,Flight Attendant,MSP,2009-08-17,16.4,Active
691,Mary,Rocha,Flight Attendant,JFK,2008-10-23,17.2,Active
692,Robert,Hart,Flight Attendant,MSP,2005-11-26,20.1,Active
693,Dustin,Green,Captain,BOS,2001-07-05,24.5,Active
694,Beth,Butler,Lead Flight Attendant,SEA,2022-07-01,3.5,Active
695,Mark,James,Captain,BOS,1999-06-26,26.5,Active
696,Victor,Pena,Flight Attendant,BOS,2019-07-07,6.5,Active
697,Jonathan,Underwood,Captain,LAX,2015-02-22,10.9,Active
698,Darlene,Henry,Flight Attendant,MSP,2023-06-07,2.6,Active
699,Laura,Jackson,Flight Attendant,LAX,1999-12-13,26.1,Active
700,Tracy,Stark,Flight Attendant,LGA,2016-03-10,9.8,Active
701,Darlene,Brown,Flight Attendant,LAX,2010-12-12,15.1,Active
702,Melanie,Landry,Captain,SEA,1995-12-30,30.0,Active
703,Kathy,Gutierrez,Lead Flight Attendant,DTW,2014-08-28,11.3,Active
704,Jesse,Mann,Flight Attendant,LGA,2019-10-14,6.2,Active
705,William,Brooks,Flight Attendant,DTW,1995-04-09,30.7,Active
706,Elizabeth,Jensen,First Officer,MSP,2013-03-05,12.8,Active
707,Tony,Smith,Flight Attendant,JFK,2009-03-19,16.8,Active
708,Alexander,Moreno,First Officer,SLC,2011-03-24,14.8,Active
709,Tiffany,Smith,Flight Attendant,BOS,2003-01-30,22.9,Inactive
710,Emily,Drake,Flight Attendant,SEA,2018-12-02,7.1,Active
711,Daniel,Davis,Flight Attendant,DTW,2021-10-05,4.2,Active
712,James,Fox,Flight Attendant,SLC,1999-05-19,26.6,Active
713,Joseph,Sanders,Flight Attendant,ATL,2018-12-24,7.0,Active
714,Richard,Cunningham,Flight Attendant,LAX,2005-12-22,20.0,Active
715,Jeremiah,Sutton,Flight Attendant,BOS,2024-02-17,1.9,Active
716,Desiree,Garrison,Flight Attendant,DTW,2019-12-10,6.1,Active
717,Clayton,Gray,Captain,LGA,2017-05-05,8.7,Active
718,Brian,Smith,Flight Attendant,SEA,2011-04-05,14.7,Active
719,Vincent,Hamilton,Flight Attendant,LAX,2000-01-16,26.0,Active
720,Ariel,Hodge,Flight Attendant,RDU,2018-01-27,7.9,Active
721,Allison,Williams,Flight Attendant,SLC,1997-10-21,28.2,Active
722,Miranda,Clay,Flight Attendant,SEA,2001-03-21,24.8,Active
723,Brandon,Jones,Flight Attendant,DTW,2008-12-26,17.0,Active
724,Rachel,Elliott,Flight Attendant,JFK,2022-03-24,3.8,Active
725,Sarah,Edwards,Captain,LGA,1995-12-20,30.0,Active
726,Brenda,Goodwin,Flight Attendant,ATL,2023-04-14,2.7,Active
727,Raymond,Jones,Flight Attendant,RDU,2015-12-19,10.0,Active
728,John,Davenport,First Officer,BOS,1999-10-12,26.2,Active
729,Peggy,Rivera,First Officer,SEA,2006-06-13,19.6,Active
730,Donald,Hinton,Flight Attendant,RDU,2017-03-24,8.8,Active
731,Vincent,Mccann,Captain,JFK,2016-04-20,9.7,Active
732,Samuel,Roberson,Lead Flight Attendant,DTW,1996-07-30,29.4,Active
733,Kayla,Friedman,First Officer,LGA,2005-01-07,21.0,Active
734,Kim,Johnson,First Officer,LAX,2006-09-02,19.3,Active
735,Victoria,Henry,Flight Attendant,SLC,2003-01-15,23.0,Active
736,Shelley,Reynolds,Flight Attendant,DTW,2005-06-19,20.5,Active
737,Donna,Miller,Flight Attendant,MSP,2014-12-29,11.0,Active
738,Lauren,Marquez,Captain,ATL,2013-03-13,12.8,Active
739,Eric,Dawson,First Officer,ATL,1997-05-31,28.6,Active
740,Jodi,Stewart,Flight Attendant,LAX,2013-08-24,12.4,Active
741,Adam,Parker,Flight Attendant,LGA,1998-02-18,27.9,Active
742,Joseph,Anderson,Flight Attendant,DTW,2005-08-02,20.4,On Leave
743,Shane,Peters,Flight Attendant,DTW,2000-07-06,25.5,Active
744,Anthony,Gomez,Captain,JFK,2007-01-02,19.0,Active
745,Carly,Nguyen,Lead Flight Attendant,BOS,1997-09-26,28.3,Active
746,Kelly,Hughes,Flight Attendant,MSP,2006-05-01,19.7,Active
747,Rachel,Stein,Flight Attendant,SLC,1997-06-29,28.5,Active
748,Ashley,Jackson,Flight Attendant,LGA,2023-10-10,2.2,Active
749,Dominic,Turner,Flight Attendant,SEA,2006-03-14,19.8,Active
750,Bryan,Hamilton,Lead Flight Attendant,BOS,2009-07-04,16.5,Active
751,Todd,Jones,First Officer,SLC,2007-05-22,18.6,Active
752,John,Weber,First Officer,RDU,2002-05-28,23.6,Active
753,James,Rodriguez,Flight Attendant,MSP,2012-06-19,13.5,Active
754,Stacy,Cook,Captain,SLC,2003-12-18,22.0,Active
755,Linda,Rivera,Flight Attendant,DTW,2013-03-30,12.8,Active
756,Lisa,Villarreal,Flight Attendant,LGA,2004-11-05,21.2,Active
757,Derek,Flores,Captain,RDU,2023-08-29,2.3,Active
758,James,Edwards,Flight Attendant,SLC,2022-11-12,3.1,Active
759,Tanya,Carter,Flight Attendant,LAX,2023-05-17,2.6,Active
